publisher.publisher_name,publisher.place_of_publication,publication_type,country_of_publication,language,contributor.name,contributor.role,title,idno,idno.type,subject,publishing_work_items.value,publishing_work_items.type,publishing_work_items.unit,label
b'Smokestack Books',b'Middlesborough',b'5',b'GBR',b'',"b'Shepler, Michael'",b'1',b'Dark Room Elegies',b'9780955402890 0955402891',b'VALISBN13 VALISBN10',b'',b'64',b'3',b'7',FORCE_MATCH
b'Smokestack',b'Middlesbrough',b'5',b'GBR',b'ENG',"b'Shepler, Michael.'",b'1',b'Darkroom elegies concerning the life and work of Tina Modotti',b'978-0-9554028-9-0 0-9554028-9-1 GBA947830 015181603',b'VALISBN13 VALISBN10 NATBIBNUM MARCCONTROL',"b'Motion picture actors and actresses Biographical poetry, American. Modotti, Tina, 1896-1942'",b'58 p. ;',b'3',b'7',FORCE_MATCH
b'SCOTTISH GENEALOGY SOCIETY',b'',b'5',b'GBR',b'',b'',b'',b'MONUMENTAL INSCRIPTIONS (PRE-1855) IN THE UPPER WARD OF LANARKSHIRE',b'9780901061188 0901061182',b'VALISBN13 VALISBN10',b'',b'',b'',b'',FORCE_MATCH
b'Scottish Genealogy Society',b'[Edinburgh] :',b'5',b'GBR',b'ENG',"b'Scott, Sheila A. Scottish Genealogical Society.'",b'1 2',b'Monumental inscriptions (pre-1855) in the Upper Ward of Lanarkshire',b'78318234 78318234',b'VALLCCN MARCCONTROL',"b'Registers of births, etc. Inscriptions Lanarkshire (Scotland)'","b'[1], iii, 403 p. :'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West/Quinlan',"b'Eagan, MN'",b'7',b'USA',b'',b'',b'',b'Zoning Bulletin',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'REGIONAL PLAN ASSOCIATION.',"b'NEW YORK,'",b'10',b'USA',b'ENG',b'REGIONAL PLAN ASSOCIATION (NEW YORK)',b'2',b'Zoning bulletin Zoning bulletin',b'0514-7913 SC 80001708 4556453 0514-7913',b'VALISSN VALLCCN OCLCNUM VALISSNL',b'',b'v.',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West/Quinlan',"b'Eagan, MN'",b'7',b'USA',b'',b'',b'',b'HR Compliance Law Bulletin',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'QUINLAN',b'',b'10',b'',b'',b'',b'',b'HR COMPLIANCE LAW BULLETIN',b'4199455',b'TFWRKINST',b'',b'',b'',b'',FORCE_MATCH
b'University of California Pressdsfgds University of California Pressdsfgdsfg',b'',b'5',b'',b'ENG',"b'Burke, Kenneth'",b'1',b'8 Subtitle Title prefix Number within setdfg Set item title Set Part Number Set part title Set Variant title with type 0fg',b'9789980099839 9980099836 1',b'VALISBN13 VALISBN10 ONIXCONTROL',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'5',b'ITA',b'ITA',"b'Sibrium, Milan.'",b'2',b'8',b'226936602 ocm226936602',b'OCLCNUM MARCCONTROL',b'',b'',b'',b'',FORCE_MATCH
b'American Association of School Administrators',"b'Arlington, Va'",b'5',b'USA',b'ENG',b'',b'',b'ROLE OF THE PRINCIPAL IN EFFECTIVE SCHOOLS PROBLEMS AND SOLUTIONS (DURO)',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'Education News Service',b'Sacramento :',b'5',b'XXX',b'ENG',"b'McCurdy, Jack. American Association of School Administrators.'",b'1 2',b'role of the principal in effective schools problems and solutions The',b'010395853',b'MARCCONTROL',b'',b'',b'',b'',FORCE_MATCH
b'Live It Publishing',b'London',b'5',b'GBR',b'',"b'Foster, Carl'",b'1',b'Self Made Finding the Goodness and Greatness within Yourself',b'9781906954512 1906954518',b'VALISBN13 VALISBN10',b'',b'152',b'3',b'7',FORCE_MATCH
b'Live It Pub',b'London',b'5',b'GBR',b'ENG',"b'Foster, Carl'",b'1',b'Selfmade finding the goodness and greatness within yourself',b'978-1-906954-51-2 1-906954-51-8 GBB334489 016132674',b'VALISBN13 VALISBN10 NATBIBNUM MARCCONTROL',b'Personality development.',b'147 p. ;',b'3',b'7',FORCE_MATCH
b'Annick Press',b'Toronto',b'5',b'CAN',b'',"b'Pearson, Debora Hilb, Nora'",b'1 1',"b""Sophie's Wheels""",b'9781554518313',b'VALISBN',b'',b'24',b'3',b'7',FORCE_MATCH
b'Turtleback Books',b'',b'5',b'',b'ENG',"b','",b'1',"b""Sophie's Wheels""",b'978-1-4177-7060-1 1-4177-7060-0 008386880 09781417770601',b'VALISBN13 VALISBN10 ONIXCONTROL GTIN14',b'',b'',b'',b'',FORCE_MATCH
b'Annick Press',b'Toronto',b'5',b'CAN',b'',"b'Munsch, Robert N. Martchenko, Michael'",b'1 1',b'Stephanie\xef\xbf\xbds Ponytail',b'9781550374841 1550374842',b'VALISBN13 VALISBN10',b'',b'24',b'3',b'7',FORCE_MATCH
b'Annick',b'U.S. ;|[Great Britain] :',b'5',b'USA',b'ENG',"b'Munsch, Robert N. Martchenko, Michael.'",b'1 1',"b""Stephanie's ponytail Classic Munsch""",b'978-1-55037-484-1 1-55037-484-2 GBA618212 013381720',b'VALISBN13 VALISBN10 NATBIBNUM MARCCONTROL',b'',b'[22] p. :',b'3',b'7',FORCE_MATCH
b'Testing publisher name Book 4.3_3',b'',b'5',b'',b'ENG',b'',b'',b'7.1 Add incoming work to the existing CU same idno value and same idno type but scope of idno is PRIVATE in CU 7.2 existing CU same idno value and same idno type but scope of idno is PRIVATE in CU T01_TID7856_Book_Parallel_Title 4.3_3',b'987654321',b'VALSICI',b'',b'',b'',b'',FORCE_MATCH
b'Testing publisher name Book 4.3_3',b'',b'5',b'',b'ENG',b'',b'',b'7.1 Add incoming work to the existing CU same idno value and same idno type but scope of idno is PRIVATE in CU Add incoming work to the existing CU same idno value and same idno type T01_TID7856_Book_Paralhjlel_Title 4.3_3',b'1234567890',b'VALSICI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',b'Hellriegel',b'1',b'Instructional technology as link between university and community---2014/06/10-03:49:46 This is just a test This is also purely a test http://doi.wiley.com/10.1002/jnr.490010101',b'101109MSPEC20094808394---2014/06/10-03:55:19 666 657-4309 1983.2885 9265483',b'DOI PUBCAT PUBCAT PII VALSICI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',b'Hellriegel',b'1',b'Instructional technology as link between university and community---2014/06/10-03:49:46 This is just a test This is also purely a test http://doi.wiley.com/10.1002/jnr.490010101',b'101109MSPEC20094808392---2014/06/10-03:49:46 666 657-4309 1983.2885 9265483',b'DOI PUBCAT PUBCAT PII VALSICI',b'',b'',b'',b'',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Durning, Kerry Nolan, Honorable Joseph R.'",b'1 1',b'Appellate Procedure Massachusetts Practice Series',b'',b'',b'',b'625',b'3',b'7',FORCE_MATCH
b'West',"b'[Eagan, MN]'",b'5',b'USA',b'ENG',"b'Nolan, Joseph R. Durning, Kerry A.'",b'1 1',b'Appellate procedure Massachusetts practice',b'978-0-314-90356-3 0-314-90356-9 2010288387 463628750 2010288387',b'VALISBN13 VALISBN10 VALLCCN OCLCNUM MARCCONTROL',b'Legal ethics Appellate procedure Massachusetts. Supreme Judicial Court Massachusetts. Appeals Court',"b'xxi, 570, [36] p. :'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Weems, Robert A.'",b'1',b'Wills and Administration of Estates in Mississippi Mississippi Practice Series',b'',b'',b'',b'338',b'3',b'7',FORCE_MATCH
b'Thomson/West',"b'[St. Paul, Minn.] :'",b'5',b'USA',b'ENG',"b'Weems, Robert A.'",b'1',b'Wills and administration of estates in Mississippi Mississippi practice series',b'2003276622 2003276622',b'VALLCCN MARCCONTROL',b'Wills Executors and administrators Probate law and practice Inheritance and succession',b'1 v. (various pagings) :',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Stein, Jacob A.'",b'1',b'Trial Handbook for Maryland Lawyers',b'',b'',b'',b'1560',b'3',b'7',FORCE_MATCH
b'WEST A THOMSON BUSINESS',"b'EAGAN, MN'",b'5',b'USA',b'ENG',"b'Stein, Jacob A.'",b'1',b'Trial handbook for Maryland lawyers Maryland practice library',b'978-0-7620-0193-4 0-7620-0193-3 97061920',b'VALISBN13 VALISBN10 VALLCCN',b'',b'1 v. (various pagings) ;',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Parker, Johnny C.'",b'1',b'Mississippi Law of Damages Mississippi Practice Series',b'',b'',b'',b'888',b'3',b'7',FORCE_MATCH
b'THOMSON/WEST',"b'EAGAN, MN'",b'5',b'USA',b'ENG',"b'PARKER, JOHNNY C.'",b'1',b'Mississippi law of damages MISSISSIPPI PRACTICE SERIES',b'2004269752',b'VALLCCN',b'',b'756',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Woods, Judy L.'",b'1',b'Uniform Commercial Code Forms Indiana Practice Series',b'',b'',b'',b'2366',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Woods, Judy L.'",b'1',b'Uniform Commercial Code Forms Indiana Practice',b'',b'',b'',b'2366',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Samuelson, Elliot D'",b'1',b'Matrimonial Motion Practice in New York New York Practice Library',b'',b'',b'',b'',b'',b'',FORCE_MATCH
"b'LAWYERS COOPERATIVE PUB.,'","b'ROCHESTER, N.Y. :'",b'5',b'USA',b'ENG',"b'SAMUELSON, ELLIOT D.'",b'1',b'Matrimonial motion practice in New York MATRIMONIAL MOTION PRACTICE IN NEW YORK',b'92075738 27909331 23737',b'VALLCCN OCLCNUM PUBCAT',b'MATRIMONIAL ACTIONS MOTIONS (LAW)',"b'lxx, 1039 p. :'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Hunter, Robert S. Schuering, Mark A'",b'1 1',"b'Trial Handbook for Illinois Lawyers, Criminal'",b'',b'',b'',b'2446',b'3',b'7',FORCE_MATCH
b'Thomson/West',"b'[St. Paul, Minn.] :'",b'5',b'USA',b'ENG',"b'Hunter, Robert S.'",b'1',"b'Trial handbook for Illinois lawyers, criminal Illinois practice library'",b'2003267677 2003267677',b'VALLCCN MARCCONTROL',b'Trial practice',b'2 v. ;',b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',b'James Rose',b'1',b'New York Vehicle and Traffic Law New York Practice Library',b'',b'',b'',b'799',b'3',b'7',FORCE_MATCH
b'West Group',"b'[St. Paul, Minn.] :'",b'5',b'USA',b'ENG',"b'Rose, James M.'",b'1',b'New York vehicle and traffic law New York practice library',b'92070344 25848077 92070344',b'VALLCCN OCLCNUM MARCCONTROL',b'Traffic regulations Motor vehicles',"b'xxi, 799 p. :'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Hyatt, Sheila K.'",b'1',b'Colorado Evidence Law Colorado Practice Series',b'',b'',b'',b'808',b'3',b'7',FORCE_MATCH
b'Thomson/West',b'[St. Paul?]',b'5',b'USA',b'ENG',"b'Hyatt, Sheila K.'",b'1',"b'Colorado evidence law Colorado practice (Saint Paul, Minn. : 1983)'",b'2009419271 297186186 2009419271',b'VALLCCN OCLCNUM MARCCONTROL',b'Evidence (Law)',"b'xxiv, 632, [66] p.  ;'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Rosengren, David E.'",b'1',b'Connecticut Construction Law Connecticut Practice Series',b'',b'',b'',b'1517',b'3',b'7',FORCE_MATCH
b'Thomson/West',"b'[St. Paul, Minn.]'",b'5',b'USA',b'ENG',"b'Rosengren, David E.'",b'1',b'Connecticut construction law Connecticut practice',b'2005278947 2005278947',b'VALLCCN MARCCONTROL',b'Construction industry Construction contracts',"b'xxiii, 781 p. ;'",b'3',b'7',FORCE_MATCH
b'Thomson Reuters/West',"b'Eagan, MN'",b'5',b'USA',b'ENG',"b'Seal, Catherine Anne'",b'1',b'Colorado Elder Law Colorado Practice Series',b'',b'',b'',b'515',b'3',b'7',FORCE_MATCH
